"","Species","CB3DR_D100M1","CB3DR_D100M2","CB3DR_D100M3","CB3DR_D100M4","CB3DR_D100M5","CB3DR_DM0-FF","CB3DR_DM0Sach","CB3DR_DM10-FF","CB3DR_DM10-SPD","CB3DR_DM6-SPD","CB3DR_extblank1","CB3DR_extblank2","CB3DR_extblank3","D1000M1","D1000M2","D1000M3","D1000M4","D1000M5","D100M1","D100M2","D100M3","D100M4","D100M5","D250M1","D250M2","D250M4","D250M5","D500M1","D500M2","D500M3","D500M4","D500M5","DLarv2","DLarv3","DLarv4","DLarv5","M2ACV","M2DC","M2FF","M4DC","M4FF","M6FF","POS1","POS2","T10DC","T10FF","T10SPD","T2SPD","T4DC","T4FF","T4SPD","T6DC","T6FF","T6SPD","T8DC","T8FF","T8SPD"
"20","Drosophila_simulans",162544,26044,36219,29031,129005,NA,NA,14710,16299,17051,40654,NA,85653,1837971,786137,2125001,1122641,1895598,1727018,461947,461108,280632,1221066,6053435,357938,707354,1980503,4538753,1243243,105516,5598,120754,310839,340213,602139,3103391,51568,NA,NA,NA,NA,NA,NA,NA,1984045,47462,8750473,5397807,50211,6295507,6903061,3420315,109805,15717036,4627786,990228,7170809
"21","Drosophila_subpulchrella",NA,9869,9272,9450,NA,NA,NA,NA,NA,NA,13701,NA,5341,NA,33130,791661,NA,NA,NA,185417,130087,172515,NA,NA,NA,21314,NA,NA,405785,NA,NA,NA,NA,NA,NA,NA,NA,19571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49514,NA,19476,NA
"22","Drosophila_suzukii",NA,NA,NA,33622,23838,NA,NA,NA,NA,NA,16271,NA,4575,NA,NA,1871847,1680131,32216,NA,NA,NA,469401,263612,NA,NA,285860,134860,116408,NA,NA,76,40731,NA,NA,NA,9585,91883,NA,NA,NA,114860,NA,NA,NA,NA,NA,NA,NA,NA,16832,NA,NA,NA,NA,NA,NA,29863
"23","Ectopsocus_briggsi",NA,NA,NA,NA,NA,NA,1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Elachista_synethes",NA,NA,NA,NA,NA,NA,NA,NA,2206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Epiphyas_postvittana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4248218,1878,100341,3044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Epuraea_signata",NA,NA,NA,NA,NA,46558,NA,104297,NA,NA,NA,641,1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","G__Drosophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1204,NA,NA,NA,NA,355,NA,NA,NA,1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Habrobracon_hebetor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9571,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Hydrellia_tritici",NA,NA,NA,NA,NA,NA,22343,NA,NA,3196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
